"ID","State","StateID","StateText","TimeIn","TimeUserAck","TimePLCAck","MessageID","MessageText","Occur","GroupID","GroupText","Priority","Parameter1","Parameter2","Group","Class","HistoricalID","HasNotes","SortBuffer","TimeInUTC"
"39","4","$352","","2022-03-05 06:33:47","1899-12-30 00:00:00","1899-12-30 00:00:00","$4137","Compressed air","1","$4136","Compressed air","640","CP:.VC_MX_005_MS_Druckluft","20000500","23","4","1","False","","2022-03-05 03:33:47"
"47","0","$362","","2022-03-04 20:38:51","1899-12-30 00:00:00","2022-03-05 06:33:47","$4146","Ready for automatic operation","1","$4138","Operation","310","CP:.VC_MX_006_MH_AutoReady","20000607","24","6","2","False","","2022-03-04 17:38:51"
"39","0","$354","","2022-03-05 06:33:47","1899-12-30 00:00:00","2022-03-05 06:34:11","$4137","Compressed air","1","$4136","Compressed air","640","CP:.VC_MX_005_MS_Druckluft","20000500","23","4","3","False","","2022-03-05 03:33:47"
"47","4","$360","","2022-03-05 06:34:11","1899-12-30 00:00:00","1899-12-30 00:00:00","$4146","Ready for automatic operation","1","$4138","Operation","310","CP:.VC_MX_006_MH_AutoReady","20000607","24","6","4","False","","2022-03-05 03:34:11"
"39","4","$352","","2022-03-05 06:41:57","1899-12-30 00:00:00","1899-12-30 00:00:00","$4137","Compressed air","1","$4136","Compressed air","640","CP:.VC_MX_005_MS_Druckluft","20000500","23","4","5","False","","2022-03-05 03:41:57"
"47","0","$362","","2022-03-05 06:34:11","1899-12-30 00:00:00","2022-03-05 06:41:57","$4146","Ready for automatic operation","1","$4138","Operation","310","CP:.VC_MX_006_MH_AutoReady","20000607","24","6","6","False","","2022-03-05 03:34:11"
"25","4","$352","","2022-03-05 08:21:35","1899-12-30 00:00:00","1899-12-30 00:00:00","$4118","AC power failure","1","$4115","Power mains","690","CP:.VC_MX_000_MS_Netzausfall","20000015","18","4","7","False","","2022-03-05 05:21:35"
"38","4","$352","","2022-03-05 08:21:37","1899-12-30 00:00:00","1899-12-30 00:00:00","$4135","Control System","1","$4134","Controls","695","CP:.VC_MX_004_MS_Max4","20000402","22","4","8","False","","2022-03-05 05:21:37"
"134","4","$352","","2022-03-05 08:21:37","1899-12-30 00:00:00","1899-12-30 00:00:00","$4248","Frequency drive RonTech 1","1","$4244","Inserter","640","CP:.VC_MX_312_MS_FUBandRontech","20031209","39","4","9","False","","2022-03-05 05:21:37"
"146","4","$352","","2022-03-05 08:21:37","1899-12-30 00:00:00","1899-12-30 00:00:00","$4261","Fault converter tube alignment belt","1","$4258","Flap transfer","640","CP:.VC_MX_500_MS_FUTubenAusrBand","20050002","40","4","10","False","","2022-03-05 05:21:37"
