"ID","State","StateID","StateText","TimeIn","TimeUserAck","TimePLCAck","MessageID","MessageText","Occur","GroupID","GroupText","Priority","Parameter1","Parameter2","Group","Class","HistoricalID","HasNotes","SortBuffer","TimeInUTC"
"149","4","$352","","2022-03-18 05:51:33","1899-12-30 00:00:00","1899-12-30 00:00:00","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","1","False","","2022-03-18 02:51:33"
"149","0","$354","","2022-03-18 05:51:33","1899-12-30 00:00:00","2022-03-18 05:55:09","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","2","False","","2022-03-18 02:51:33"
"149","4","$352","","2022-03-18 06:02:41","1899-12-30 00:00:00","1899-12-30 00:00:00","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","3","False","","2022-03-18 03:02:41"
"35","4","$352","","2022-03-18 06:08:15","1899-12-30 00:00:00","1899-12-30 00:00:00","$4130","Protective cover 3 open","1","$4126","Protective covers","650","CP:.VC_MX_002_MS_SHVerschluL","20000204","20","4","4","False","","2022-03-18 03:08:15"
"68","4","$352","","2022-03-18 06:08:19","1899-12-30 00:00:00","1899-12-30 00:00:00","$4167","Hand wheel retracted","1","$4138","Operation","660","CP:.VC_MX_006_MS_Handrad","20000650","24","4","5","False","","2022-03-18 03:08:19"
"35","0","$354","","2022-03-18 06:08:15","1899-12-30 00:00:00","2022-03-18 06:09:10","$4130","Protective cover 3 open","1","$4126","Protective covers","650","CP:.VC_MX_002_MS_SHVerschluL","20000204","20","4","6","False","","2022-03-18 03:08:15"
"68","0","$354","","2022-03-18 06:08:19","1899-12-30 00:00:00","2022-03-18 06:09:11","$4167","Hand wheel retracted","1","$4138","Operation","660","CP:.VC_MX_006_MS_Handrad","20000650","24","4","7","False","","2022-03-18 03:08:19"
"35","4","$352","","2022-03-18 06:12:07","1899-12-30 00:00:00","1899-12-30 00:00:00","$4130","Protective cover 3 open","1","$4126","Protective covers","650","CP:.VC_MX_002_MS_SHVerschluL","20000204","20","4","8","False","","2022-03-18 03:12:07"
"68","4","$352","","2022-03-18 06:12:08","1899-12-30 00:00:00","1899-12-30 00:00:00","$4167","Hand wheel retracted","1","$4138","Operation","660","CP:.VC_MX_006_MS_Handrad","20000650","24","4","9","False","","2022-03-18 03:12:08"
"35","0","$354","","2022-03-18 06:12:07","1899-12-30 00:00:00","2022-03-18 06:12:38","$4130","Protective cover 3 open","1","$4126","Protective covers","650","CP:.VC_MX_002_MS_SHVerschluL","20000204","20","4","10","False","","2022-03-18 03:12:07"
