"ID","State","StateID","StateText","TimeIn","TimeUserAck","TimePLCAck","MessageID","MessageText","Occur","GroupID","GroupText","Priority","Parameter1","Parameter2","Group","Class","HistoricalID","HasNotes","SortBuffer","TimeInUTC"
"50","0","$362","","2022-03-02 20:42:28","1899-12-30 00:00:00","2022-03-03 05:49:16","$4149","Ready for automatic operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_AutoBereit","30000600","24","6","1","False","","2022-03-02 17:42:28"
"152","4","$356","","2022-03-03 05:49:16","1899-12-30 00:00:00","1899-12-30 00:00:00","$4269","Hot-Air heating up","1","$4256","Hot-Air","430","TFS:.VC_MX_054_MW_HotAirAufheizen","30005413","42","5","2","False","","2022-03-03 02:49:16"
"152","0","$358","","2022-03-03 05:49:16","1899-12-30 00:00:00","2022-03-03 05:52:05","$4269","Hot-Air heating up","1","$4256","Hot-Air","430","TFS:.VC_MX_054_MW_HotAirAufheizen","30005413","42","5","3","False","","2022-03-03 02:49:16"
"50","4","$360","","2022-03-03 05:52:06","1899-12-30 00:00:00","1899-12-30 00:00:00","$4149","Ready for automatic operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_AutoBereit","30000600","24","6","4","False","","2022-03-03 02:52:06"
"36","4","$352","","2022-03-03 05:55:16","1899-12-30 00:00:00","1899-12-30 00:00:00","$4131","Guard door 4 open","1","$4127","Protective covers","650","TFS:.VC_MX_002_MS_SH4","30000203","20","4","5","False","","2022-03-03 02:55:16"
"50","0","$362","","2022-03-03 05:52:06","1899-12-30 00:00:00","2022-03-03 05:55:16","$4149","Ready for automatic operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_AutoBereit","30000600","24","6","6","False","","2022-03-03 02:52:06"
"36","0","$354","","2022-03-03 05:55:16","1899-12-30 00:00:00","2022-03-03 05:55:47","$4131","Guard door 4 open","1","$4127","Protective covers","650","TFS:.VC_MX_002_MS_SH4","30000203","20","4","7","False","","2022-03-03 02:55:16"
"50","4","$360","","2022-03-03 05:55:49","1899-12-30 00:00:00","1899-12-30 00:00:00","$4149","Ready for automatic operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_AutoBereit","30000600","24","6","8","False","","2022-03-03 02:55:49"
"36","4","$352","","2022-03-03 05:58:23","1899-12-30 00:00:00","1899-12-30 00:00:00","$4131","Guard door 4 open","1","$4127","Protective covers","650","TFS:.VC_MX_002_MS_SH4","30000203","20","4","9","False","","2022-03-03 02:58:23"
"50","0","$362","","2022-03-03 05:55:49","1899-12-30 00:00:00","2022-03-03 05:58:23","$4149","Ready for automatic operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_AutoBereit","30000600","24","6","10","False","","2022-03-03 02:55:49"
"36","0","$354","","2022-03-03 05:58:23","1899-12-30 00:00:00","2022-03-03 05:58:49","$4131","Guard door 4 open","1","$4127","Protective covers","650","TFS:.VC_MX_002_MS_SH4","30000203","20","4","11","False","","2022-03-03 02:58:23"
"50","4","$360","","2022-03-03 05:58:50","1899-12-30 00:00:00","1899-12-30 00:00:00","$4149","Ready for automatic operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_AutoBereit","30000600","24","6","12","False","","2022-03-03 02:58:50"
"50","0","$362","","2022-03-03 05:58:50","1899-12-30 00:00:00","2022-03-03 06:01:12","$4149","Ready for automatic operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_AutoBereit","30000600","24","6","13","False","","2022-03-03 02:58:50"
"57","4","$360","","2022-03-03 06:01:12","1899-12-30 00:00:00","1899-12-30 00:00:00","$4156","Ready for combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiBereit","30000610","24","6","14","False","","2022-03-03 03:01:12"
"176","4","$356","","2022-03-03 06:01:13","1899-12-30 00:00:00","1899-12-30 00:00:00","$4300","Holding positon","1","$4295","Downstream machine","420","TFS:.VC_MX_710_MW_Wartestellung","30071001","49","5","15","False","","2022-03-03 03:01:13"
"57","0","$362","","2022-03-03 06:01:12","1899-12-30 00:00:00","2022-03-03 06:01:15","$4156","Ready for combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiBereit","30000610","24","6","16","False","","2022-03-03 03:01:12"
"58","4","$360","","2022-03-03 06:01:15","1899-12-30 00:00:00","1899-12-30 00:00:00","$4157","Combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiRun","30000611","24","6","17","False","","2022-03-03 03:01:15"
"176","0","$358","","2022-03-03 06:01:13","1899-12-30 00:00:00","2022-03-03 06:01:15","$4300","Holding positon","1","$4295","Downstream machine","420","TFS:.VC_MX_710_MW_Wartestellung","30071001","49","5","18","False","","2022-03-03 03:01:13"
"33","4","$352","","2022-03-03 06:03:32","1899-12-30 00:00:00","1899-12-30 00:00:00","$4128","Guard door 1 open","1","$4127","Protective covers","650","TFS:.VC_MX_002_MS_SH1","30000200","20","4","19","False","","2022-03-03 03:03:32"
"58","0","$362","","2022-03-03 06:01:15","1899-12-30 00:00:00","2022-03-03 06:03:32","$4157","Combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiRun","30000611","24","6","20","False","","2022-03-03 03:01:15"
"175","4","$356","","2022-03-03 06:03:33","1899-12-30 00:00:00","1899-12-30 00:00:00","$4299","Downstream machine not ready for operation","1","$4295","Downstream machine","440","TFS:.VC_MX_710_MW_FolgemNichtBereit","30071008","49","5","21","False","","2022-03-03 03:03:33"
"175","0","$358","","2022-03-03 06:03:33","1899-12-30 00:00:00","2022-03-03 06:03:33","$4299","Downstream machine not ready for operation","1","$4295","Downstream machine","440","TFS:.VC_MX_710_MW_FolgemNichtBereit","30071008","49","5","22","False","","2022-03-03 03:03:33"
"33","0","$354","","2022-03-03 06:03:32","1899-12-30 00:00:00","2022-03-03 06:03:41","$4128","Guard door 1 open","1","$4127","Protective covers","650","TFS:.VC_MX_002_MS_SH1","30000200","20","4","23","False","","2022-03-03 03:03:32"
