"ID","State","StateID","StateText","TimeIn","TimeUserAck","TimePLCAck","MessageID","MessageText","Occur","GroupID","GroupText","Priority","Parameter1","Parameter2","Group","Class","HistoricalID","HasNotes","SortBuffer","TimeInUTC"
"49","4","$352","","2022-03-05 06:32:35","1899-12-30 00:00:00","1899-12-30 00:00:00","$4147","Compressed air","1","$4146","Compressed air","640","TFS:.VC_MX_005_MS_Druckluft","30000500","23","4","1","False","","2022-03-05 03:32:35"
"50","0","$362","","2022-03-04 20:38:27","1899-12-30 00:00:00","2022-03-05 06:32:35","$4149","Ready for automatic operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_AutoBereit","30000600","24","6","2","False","","2022-03-04 17:38:27"
"28","4","$352","","2022-03-05 08:22:56","1899-12-30 00:00:00","1899-12-30 00:00:00","$4122","Emergency off cartoner","1","$4120","E-stop","680","TFS:.VC_MX_001_MS_NAKartonierer","30000102","19","4","3","False","","2022-03-05 05:22:56"
"30","4","$352","","2022-03-05 08:22:59","1899-12-30 00:00:00","1899-12-30 00:00:00","$4124","E-stop circuit machine","1","$4120","E-stop","680","TFS:.VC_MX_001_MS_NASchaltgeraet","30000103","19","4","4","False","","2022-03-05 05:22:59"
"24","4","$352","","2022-03-05 10:21:00","1899-12-30 00:00:00","1899-12-30 00:00:00","$4117","AC power failure","1","$4115","Power mains","690","TFS:.VC_MX_000_MS_Netzausfall","30000004","18","4","5","False","","2022-03-05 07:21:00"
"31","4","$352","","2022-03-05 10:21:00","1899-12-30 00:00:00","1899-12-30 00:00:00","$4125","E-stop tube infeed","1","$4120","E-stop","680","TFS:.VC_MX_001_MS_NATubenzuf","30000105","19","4","6","False","","2022-03-05 07:21:00"
"46","4","$352","","2022-03-05 10:21:02","1899-12-30 00:00:00","1899-12-30 00:00:00","$4143","Control system","1","$4141","Controls","690","TFS:.VC_MX_004_MS_MAx4","30000401","22","4","7","False","","2022-03-05 07:21:02"
"59","4","$352","","2022-03-05 10:21:02","1899-12-30 00:00:00","1899-12-30 00:00:00","$4158","Reference run required","1","$4148","Operation","610","TFS:.VC_MX_006_MS_HomingNec","30000604","24","4","8","False","","2022-03-05 07:21:02"
