"ID","State","StateID","StateText","TimeIn","TimeUserAck","TimePLCAck","MessageID","MessageText","Occur","GroupID","GroupText","Priority","Parameter1","Parameter2","Group","Class","HistoricalID","HasNotes","SortBuffer","TimeInUTC"
"58","0","$362","","2022-03-14 23:59:45","1899-12-30 00:00:00","2022-03-15 00:01:17","$4157","Combined operation","1","$4138","Operation","310","CP:.VC_MX_006_MH_CombiRun","20000618","24","6","1","False","","2022-03-14 20:59:45"
"82","4","$352","","2022-03-15 00:01:17","1899-12-30 00:00:00","1899-12-30 00:00:00","$4186","Product not inserted","1","$4185","Product not inserted","640","CP:.VC_MX_014_MS_ProdNiEing","20001400","29","4","2","False","","2022-03-14 21:01:17"
"156","4","$352","","2022-03-15 00:01:17","1899-12-30 00:00:00","1899-12-30 00:00:00","$4273","Clear flap transfer","1","$4271","Combination","620","CP:.VC_MX_704_MS_TubevomBand","20070403","42","4","3","False","","2022-03-14 21:01:17"
"149","4","$352","","2022-03-15 00:01:24","1899-12-30 00:00:00","1899-12-30 00:00:00","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","4","False","","2022-03-14 21:01:24"
"33","4","$352","","2022-03-15 00:01:24","1899-12-30 00:00:00","1899-12-30 00:00:00","$4128","Protective cover 1 open","1","$4126","Protective covers","650","CP:.VC_MX_002_MS_SHFSKette","20000201","20","4","5","False","","2022-03-14 21:01:24"
"149","0","$354","","2022-03-15 00:01:24","1899-12-30 00:00:00","2022-03-15 00:01:28","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","6","False","","2022-03-14 21:01:24"
"33","0","$354","","2022-03-15 00:01:24","1899-12-30 00:00:00","2022-03-15 00:01:29","$4128","Protective cover 1 open","1","$4126","Protective covers","650","CP:.VC_MX_002_MS_SHFSKette","20000201","20","4","7","False","","2022-03-14 21:01:24"
"149","4","$352","","2022-03-15 00:01:30","1899-12-30 00:00:00","1899-12-30 00:00:00","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","8","False","","2022-03-14 21:01:30"
"149","0","$354","","2022-03-15 00:01:30","1899-12-30 00:00:00","2022-03-15 00:01:33","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","9","False","","2022-03-14 21:01:30"
"156","0","$354","","2022-03-15 00:01:17","1899-12-30 00:00:00","2022-03-15 00:01:35","$4273","Clear flap transfer","1","$4271","Combination","620","CP:.VC_MX_704_MS_TubevomBand","20070403","42","4","10","False","","2022-03-14 21:01:17"
