"ID","State","StateID","StateText","TimeIn","TimeUserAck","TimePLCAck","MessageID","MessageText","Occur","GroupID","GroupText","Priority","Parameter1","Parameter2","Group","Class","HistoricalID","HasNotes","SortBuffer","TimeInUTC"
"69","4","$352","","2022-03-12 07:16:40","1899-12-30 00:00:00","1899-12-30 00:00:00","$4168","Reference run required","1","$4138","Operation","610","CP:.VC_MX_006_MS_HomingNec","20000630","24","4","1","False","","2022-03-12 04:16:40"
"150","4","$352","","2022-03-12 07:16:42","1899-12-30 00:00:00","1899-12-30 00:00:00","$4265","Guard door circuit flap transfer","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKreis","20050006","40","4","2","False","","2022-03-12 04:16:42"
"153","4","$352","","2022-03-12 07:16:42","1899-12-30 00:00:00","1899-12-30 00:00:00","$4269","Emergency stop downstream machine","1","$4267","Downstream machine","680","CP:.VC_MX_703_MS_NA_Masch4","20070325","41","4","3","False","","2022-03-12 04:16:42"
"160","4","$352","","2022-03-12 07:16:42","1899-12-30 00:00:00","1899-12-30 00:00:00","$4555","EMERGENCY STOP Tube infeed unit","1","$4271","Combination","680","CP:.VC_MX_704_MS_NA_TZ","20070401","42","4","4","False","","2022-03-12 04:16:42"
"161","4","$352","","2022-03-12 07:16:42","1899-12-30 00:00:00","1899-12-30 00:00:00","$4556","EMERGENCY STOP Tube filler","1","$4271","Combination","680","CP:.VC_MX_704_MS_NATFS","20070402","42","4","5","False","","2022-03-12 04:16:42"
"34","4","$352","","2022-03-12 07:24:42","1899-12-30 00:00:00","1899-12-30 00:00:00","$4129","Protective cover circuit machine","1","$4126","Protective covers","650","CP:.VC_MX_002_MS_SHKreis","20000202","20","4","6","False","","2022-03-12 04:24:42"
"153","0","$354","","2022-03-12 07:16:42","1899-12-30 00:00:00","2022-03-12 07:24:55","$4269","Emergency stop downstream machine","1","$4267","Downstream machine","680","CP:.VC_MX_703_MS_NA_Masch4","20070325","41","4","7","False","","2022-03-12 04:16:42"
"160","0","$354","","2022-03-12 07:16:42","1899-12-30 00:00:00","2022-03-12 07:24:55","$4555","EMERGENCY STOP Tube infeed unit","1","$4271","Combination","680","CP:.VC_MX_704_MS_NA_TZ","20070401","42","4","8","False","","2022-03-12 04:16:42"
"31","4","$352","","2022-03-12 07:24:58","1899-12-30 00:00:00","1899-12-30 00:00:00","$4125","E-stop circuit machine","1","$4122","Emergency stop","680","CP:.VC_MX_001_MS_NAKreis","20000102","19","4","9","False","","2022-03-12 04:24:58"
"149","4","$352","","2022-03-12 07:28:06","1899-12-30 00:00:00","1899-12-30 00:00:00","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","10","False","","2022-03-12 04:28:06"
