"ID","State","StateID","StateText","TimeIn","TimeUserAck","TimePLCAck","MessageID","MessageText","Occur","GroupID","GroupText","Priority","Parameter1","Parameter2","Group","Class","HistoricalID","HasNotes","SortBuffer","TimeInUTC"
"33","4","$352","","2022-03-14 05:59:56","1899-12-30 00:00:00","1899-12-30 00:00:00","$4128","Protective cover 1 open","1","$4126","Protective covers","650","CP:.VC_MX_002_MS_SHFSKette","20000201","20","4","1","False","","2022-03-14 02:59:56"
"69","4","$352","","2022-03-14 05:59:55","1899-12-30 00:00:00","1899-12-30 00:00:00","$4168","Reference run required","1","$4138","Operation","610","CP:.VC_MX_006_MS_HomingNec","20000630","24","4","2","False","","2022-03-14 02:59:55"
"150","4","$352","","2022-03-14 05:59:57","1899-12-30 00:00:00","1899-12-30 00:00:00","$4265","Guard door circuit flap transfer","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKreis","20050006","40","4","3","False","","2022-03-14 02:59:57"
"153","4","$352","","2022-03-14 05:59:56","1899-12-30 00:00:00","1899-12-30 00:00:00","$4269","Emergency stop downstream machine","1","$4267","Downstream machine","680","CP:.VC_MX_703_MS_NA_Masch4","20070325","41","4","4","False","","2022-03-14 02:59:56"
"160","4","$352","","2022-03-14 05:59:56","1899-12-30 00:00:00","1899-12-30 00:00:00","$4555","EMERGENCY STOP Tube infeed unit","1","$4271","Combination","680","CP:.VC_MX_704_MS_NA_TZ","20070401","42","4","5","False","","2022-03-14 02:59:56"
"161","4","$352","","2022-03-14 05:59:56","1899-12-30 00:00:00","1899-12-30 00:00:00","$4556","EMERGENCY STOP Tube filler","1","$4271","Combination","680","CP:.VC_MX_704_MS_NATFS","20070402","42","4","6","False","","2022-03-14 02:59:56"
"153","0","$354","","2022-03-14 05:59:56","1899-12-30 00:00:00","2022-03-14 06:01:55","$4269","Emergency stop downstream machine","1","$4267","Downstream machine","680","CP:.VC_MX_703_MS_NA_Masch4","20070325","41","4","7","False","","2022-03-14 02:59:56"
"160","0","$354","","2022-03-14 05:59:56","1899-12-30 00:00:00","2022-03-14 06:01:55","$4555","EMERGENCY STOP Tube infeed unit","1","$4271","Combination","680","CP:.VC_MX_704_MS_NA_TZ","20070401","42","4","8","False","","2022-03-14 02:59:56"
"31","4","$352","","2022-03-14 06:01:58","1899-12-30 00:00:00","1899-12-30 00:00:00","$4125","E-stop circuit machine","1","$4122","Emergency stop","680","CP:.VC_MX_001_MS_NAKreis","20000102","19","4","9","False","","2022-03-14 03:01:58"
"150","0","$354","","2022-03-14 05:59:57","1899-12-30 00:00:00","2022-03-14 06:02:37","$4265","Guard door circuit flap transfer","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKreis","20050006","40","4","10","False","","2022-03-14 02:59:57"
"33","0","$354","","2022-03-14 05:59:56","1899-12-30 00:00:00","2022-03-14 06:04:16","$4128","Protective cover 1 open","1","$4126","Protective covers","650","CP:.VC_MX_002_MS_SHFSKette","20000201","20","4","11","False","","2022-03-14 02:59:56"
"30","4","$352","","2022-03-14 06:04:24","1899-12-30 00:00:00","1899-12-30 00:00:00","$4124","Emergency off operator panel","1","$4122","Emergency stop","680","CP:.VC_MX_001_MS_NABedienpult","20000101","19","4","12","False","","2022-03-14 03:04:24"
"30","0","$354","","2022-03-14 06:04:24","1899-12-30 00:00:00","2022-03-14 06:04:31","$4124","Emergency off operator panel","1","$4122","Emergency stop","680","CP:.VC_MX_001_MS_NABedienpult","20000101","19","4","13","False","","2022-03-14 03:04:24"
"31","0","$354","","2022-03-14 06:01:58","1899-12-30 00:00:00","2022-03-14 06:04:31","$4125","E-stop circuit machine","1","$4122","Emergency stop","680","CP:.VC_MX_001_MS_NAKreis","20000102","19","4","14","False","","2022-03-14 03:01:58"
"31","4","$352","","2022-03-14 06:04:34","1899-12-30 00:00:00","1899-12-30 00:00:00","$4125","E-stop circuit machine","1","$4122","Emergency stop","680","CP:.VC_MX_001_MS_NAKreis","20000102","19","4","15","False","","2022-03-14 03:04:34"
"149","4","$352","","2022-03-14 06:04:52","1899-12-30 00:00:00","1899-12-30 00:00:00","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","16","False","","2022-03-14 03:04:52"
"149","0","$354","","2022-03-14 06:04:52","1899-12-30 00:00:00","2022-03-14 06:04:54","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","17","False","","2022-03-14 03:04:52"
"153","4","$352","","2022-03-14 06:04:55","1899-12-30 00:00:00","1899-12-30 00:00:00","$4269","Emergency stop downstream machine","1","$4267","Downstream machine","680","CP:.VC_MX_703_MS_NA_Masch4","20070325","41","4","18","False","","2022-03-14 03:04:55"
"161","0","$354","","2022-03-14 05:59:56","1899-12-30 00:00:00","2022-03-14 06:04:55","$4556","EMERGENCY STOP Tube filler","1","$4271","Combination","680","CP:.VC_MX_704_MS_NATFS","20070402","42","4","19","False","","2022-03-14 02:59:56"
"160","4","$352","","2022-03-14 06:07:04","1899-12-30 00:00:00","1899-12-30 00:00:00","$4555","EMERGENCY STOP Tube infeed unit","1","$4271","Combination","680","CP:.VC_MX_704_MS_NA_TZ","20070401","42","4","20","False","","2022-03-14 03:07:04"
"161","4","$352","","2022-03-14 06:07:20","1899-12-30 00:00:00","1899-12-30 00:00:00","$4556","EMERGENCY STOP Tube filler","1","$4271","Combination","680","CP:.VC_MX_704_MS_NATFS","20070402","42","4","21","False","","2022-03-14 03:07:20"
"149","4","$352","","2022-03-14 06:09:26","1899-12-30 00:00:00","1899-12-30 00:00:00","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","22","False","","2022-03-14 03:09:26"
"149","0","$354","","2022-03-14 06:09:26","1899-12-30 00:00:00","2022-03-14 06:09:28","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","23","False","","2022-03-14 03:09:26"
"153","0","$354","","2022-03-14 06:04:55","1899-12-30 00:00:00","2022-03-14 06:10:30","$4269","Emergency stop downstream machine","1","$4267","Downstream machine","680","CP:.VC_MX_703_MS_NA_Masch4","20070325","41","4","24","False","","2022-03-14 03:04:55"
"161","0","$354","","2022-03-14 06:07:20","1899-12-30 00:00:00","2022-03-14 06:10:30","$4556","EMERGENCY STOP Tube filler","1","$4271","Combination","680","CP:.VC_MX_704_MS_NATFS","20070402","42","4","25","False","","2022-03-14 03:07:20"
"149","4","$352","","2022-03-14 06:10:43","1899-12-30 00:00:00","1899-12-30 00:00:00","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","26","False","","2022-03-14 03:10:43"
"161","4","$352","","2022-03-14 06:10:43","1899-12-30 00:00:00","1899-12-30 00:00:00","$4556","EMERGENCY STOP Tube filler","1","$4271","Combination","680","CP:.VC_MX_704_MS_NATFS","20070402","42","4","27","False","","2022-03-14 03:10:43"
"150","4","$352","","2022-03-14 06:10:51","1899-12-30 00:00:00","1899-12-30 00:00:00","$4265","Guard door circuit flap transfer","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKreis","20050006","40","4","28","False","","2022-03-14 03:10:51"
"34","4","$352","","2022-03-14 06:10:52","1899-12-30 00:00:00","1899-12-30 00:00:00","$4129","Protective cover circuit machine","1","$4126","Protective covers","650","CP:.VC_MX_002_MS_SHKreis","20000202","20","4","29","False","","2022-03-14 03:10:52"
"149","0","$354","","2022-03-14 06:10:43","1899-12-30 00:00:00","2022-03-14 06:11:46","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","30","False","","2022-03-14 03:10:43"
"149","4","$352","","2022-03-14 06:14:17","1899-12-30 00:00:00","1899-12-30 00:00:00","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","31","False","","2022-03-14 03:14:17"
"149","0","$354","","2022-03-14 06:14:17","1899-12-30 00:00:00","2022-03-14 06:14:19","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","32","False","","2022-03-14 03:14:17"
"161","0","$354","","2022-03-14 06:10:43","1899-12-30 00:00:00","2022-03-14 06:14:20","$4556","EMERGENCY STOP Tube filler","1","$4271","Combination","680","CP:.VC_MX_704_MS_NATFS","20070402","42","4","33","False","","2022-03-14 03:10:43"
"153","4","$352","","2022-03-14 06:14:44","1899-12-30 00:00:00","1899-12-30 00:00:00","$4269","Emergency stop downstream machine","1","$4267","Downstream machine","680","CP:.VC_MX_703_MS_NA_Masch4","20070325","41","4","34","False","","2022-03-14 03:14:44"
"160","0","$354","","2022-03-14 06:07:04","1899-12-30 00:00:00","2022-03-14 06:14:44","$4555","EMERGENCY STOP Tube infeed unit","1","$4271","Combination","680","CP:.VC_MX_704_MS_NA_TZ","20070401","42","4","35","False","","2022-03-14 03:07:04"
"160","4","$352","","2022-03-14 06:14:53","1899-12-30 00:00:00","1899-12-30 00:00:00","$4555","EMERGENCY STOP Tube infeed unit","1","$4271","Combination","680","CP:.VC_MX_704_MS_NA_TZ","20070401","42","4","36","False","","2022-03-14 03:14:53"
"153","0","$354","","2022-03-14 06:14:44","1899-12-30 00:00:00","2022-03-14 06:17:20","$4269","Emergency stop downstream machine","1","$4267","Downstream machine","680","CP:.VC_MX_703_MS_NA_Masch4","20070325","41","4","37","False","","2022-03-14 03:14:44"
"34","0","$354","","2022-03-14 06:10:52","1899-12-30 00:00:00","2022-03-14 06:21:21","$4129","Protective cover circuit machine","1","$4126","Protective covers","650","CP:.VC_MX_002_MS_SHKreis","20000202","20","4","38","False","","2022-03-14 03:10:52"
"150","0","$354","","2022-03-14 06:10:51","1899-12-30 00:00:00","2022-03-14 06:21:21","$4265","Guard door circuit flap transfer","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKreis","20050006","40","4","39","False","","2022-03-14 03:10:51"
"66","4","$360","","2022-03-14 06:23:55","1899-12-30 00:00:00","1899-12-30 00:00:00","$4165","Ready for single axis jogging","1","$4138","Operation","310","CP:.VC_MX_006_MH_SJogReady","20000628","24","6","40","False","","2022-03-14 03:23:55"
"66","0","$362","","2022-03-14 06:23:55","1899-12-30 00:00:00","2022-03-14 06:24:19","$4165","Ready for single axis jogging","1","$4138","Operation","310","CP:.VC_MX_006_MH_SJogReady","20000628","24","6","41","False","","2022-03-14 03:23:55"
"33","4","$352","","2022-03-14 06:26:02","1899-12-30 00:00:00","1899-12-30 00:00:00","$4128","Protective cover 1 open","1","$4126","Protective covers","650","CP:.VC_MX_002_MS_SHFSKette","20000201","20","4","42","False","","2022-03-14 03:26:02"
"35","4","$352","","2022-03-14 06:26:04","1899-12-30 00:00:00","1899-12-30 00:00:00","$4130","Protective cover 3 open","1","$4126","Protective covers","650","CP:.VC_MX_002_MS_SHVerschluL","20000204","20","4","43","False","","2022-03-14 03:26:04"
"68","4","$352","","2022-03-14 06:26:05","1899-12-30 00:00:00","1899-12-30 00:00:00","$4167","Hand wheel retracted","1","$4138","Operation","660","CP:.VC_MX_006_MS_Handrad","20000650","24","4","44","False","","2022-03-14 03:26:05"
"70","4","$352","","2022-03-14 06:26:05","1899-12-30 00:00:00","1899-12-30 00:00:00","$4169","Engage hand wheel, reference first !","1","$4138","Operation","670","CP:.VC_MX_006_MS_ZuerstReferieren","20000631","24","4","45","False","","2022-03-14 03:26:05"
"68","0","$354","","2022-03-14 06:26:05","1899-12-30 00:00:00","2022-03-14 06:26:06","$4167","Hand wheel retracted","1","$4138","Operation","660","CP:.VC_MX_006_MS_Handrad","20000650","24","4","46","False","","2022-03-14 03:26:05"
"70","0","$354","","2022-03-14 06:26:05","1899-12-30 00:00:00","2022-03-14 06:26:13","$4169","Engage hand wheel, reference first !","1","$4138","Operation","670","CP:.VC_MX_006_MS_ZuerstReferieren","20000631","24","4","47","False","","2022-03-14 03:26:05"
"35","0","$354","","2022-03-14 06:26:04","1899-12-30 00:00:00","2022-03-14 06:26:14","$4130","Protective cover 3 open","1","$4126","Protective covers","650","CP:.VC_MX_002_MS_SHVerschluL","20000204","20","4","48","False","","2022-03-14 03:26:04"
"33","0","$354","","2022-03-14 06:26:02","1899-12-30 00:00:00","2022-03-14 06:26:19","$4128","Protective cover 1 open","1","$4126","Protective covers","650","CP:.VC_MX_002_MS_SHFSKette","20000201","20","4","49","False","","2022-03-14 03:26:02"
"153","4","$352","","2022-03-14 06:31:13","1899-12-30 00:00:00","1899-12-30 00:00:00","$4269","Emergency stop downstream machine","1","$4267","Downstream machine","680","CP:.VC_MX_703_MS_NA_Masch4","20070325","41","4","50","False","","2022-03-14 03:31:13"
