"ID","State","StateID","StateText","TimeIn","TimeUserAck","TimePLCAck","MessageID","MessageText","Occur","GroupID","GroupText","Priority","Parameter1","Parameter2","Group","Class","HistoricalID","HasNotes","SortBuffer","TimeInUTC"
"34","0","$354","","2022-03-04 05:56:45","1899-12-30 00:00:00","2022-03-04 05:56:58","$4129","Guard door 2 open","1","$4127","Protective covers","650","TFS:.VC_MX_002_MS_SH2","30000201","20","4","22","False","","2022-03-04 02:56:45"
"35","0","$354","","2022-03-04 05:56:36","1899-12-30 00:00:00","2022-03-04 05:57:05","$4130","Guard door 3 open","1","$4127","Protective covers","650","TFS:.VC_MX_002_MS_SH3","30000202","20","4","23","False","","2022-03-04 02:56:36"
"173","0","$354","","2022-03-04 05:56:37","1899-12-30 00:00:00","2022-03-04 05:57:23","$4297","Remove tube at discharge","1","$4295","Downstream machine","620","TFS:.VC_MX_710_MS_TubeEntnehmen","30071005","49","4","24","False","","2022-03-04 02:56:37"
"57","4","$360","","2022-03-04 05:57:24","1899-12-30 00:00:00","1899-12-30 00:00:00","$4156","Ready for combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiBereit","30000610","24","6","25","False","","2022-03-04 02:57:24"
"175","0","$358","","2022-03-04 05:56:36","1899-12-30 00:00:00","2022-03-04 05:57:24","$4299","Downstream machine not ready for operation","1","$4295","Downstream machine","440","TFS:.VC_MX_710_MW_FolgemNichtBereit","30071008","49","5","26","False","","2022-03-04 02:56:36"
"176","4","$356","","2022-03-04 05:57:26","1899-12-30 00:00:00","1899-12-30 00:00:00","$4300","Holding positon","1","$4295","Downstream machine","420","TFS:.VC_MX_710_MW_Wartestellung","30071001","49","5","27","False","","2022-03-04 02:57:26"
"57","0","$362","","2022-03-04 05:57:24","1899-12-30 00:00:00","2022-03-04 05:57:29","$4156","Ready for combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiBereit","30000610","24","6","28","False","","2022-03-04 02:57:24"
"58","4","$360","","2022-03-04 05:57:29","1899-12-30 00:00:00","1899-12-30 00:00:00","$4157","Combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiRun","30000611","24","6","29","False","","2022-03-04 02:57:29"
"176","0","$358","","2022-03-04 05:57:26","1899-12-30 00:00:00","2022-03-04 05:57:29","$4300","Holding positon","1","$4295","Downstream machine","420","TFS:.VC_MX_710_MW_Wartestellung","30071001","49","5","30","False","","2022-03-04 02:57:26"
"175","4","$356","","2022-03-04 05:57:57","1899-12-30 00:00:00","1899-12-30 00:00:00","$4299","Downstream machine not ready for operation","1","$4295","Downstream machine","440","TFS:.VC_MX_710_MW_FolgemNichtBereit","30071008","49","5","31","False","","2022-03-04 02:57:57"
"58","0","$362","","2022-03-04 05:57:29","1899-12-30 00:00:00","2022-03-04 05:58:01","$4157","Combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiRun","30000611","24","6","32","False","","2022-03-04 02:57:29"
"57","4","$360","","2022-03-04 05:58:16","1899-12-30 00:00:00","1899-12-30 00:00:00","$4156","Ready for combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiBereit","30000610","24","6","33","False","","2022-03-04 02:58:16"
