"ID","State","StateID","StateText","TimeIn","TimeUserAck","TimePLCAck","MessageID","MessageText","Occur","GroupID","GroupText","Priority","Parameter1","Parameter2","Group","Class","HistoricalID","HasNotes","SortBuffer","TimeInUTC"
"47","0","$362","","2022-03-07 20:34:15","1899-12-30 00:00:00","2022-03-08 05:54:59","$4146","Ready for automatic operation","1","$4138","Operation","310","CP:.VC_MX_006_MH_AutoReady","20000607","24","6","1","False","","2022-03-07 17:34:15"
"149","4","$352","","2022-03-08 05:54:59","1899-12-30 00:00:00","1899-12-30 00:00:00","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","2","False","","2022-03-08 02:54:59"
"149","0","$354","","2022-03-08 05:54:59","1899-12-30 00:00:00","2022-03-08 06:01:52","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","3","False","","2022-03-08 02:54:59"
"75","4","$352","","2022-03-08 06:01:54","1899-12-30 00:00:00","1899-12-30 00:00:00","$4175","Axes not released, please wait","1","$4171","Main drive","610","CP:.VC_MX_007_MS_WatchEnable","20000704","25","4","4","False","","2022-03-08 03:01:54"
"47","4","$360","","2022-03-08 06:01:55","1899-12-30 00:00:00","1899-12-30 00:00:00","$4146","Ready for automatic operation","1","$4138","Operation","310","CP:.VC_MX_006_MH_AutoReady","20000607","24","6","5","False","","2022-03-08 03:01:55"
"75","0","$354","","2022-03-08 06:01:54","1899-12-30 00:00:00","2022-03-08 06:01:55","$4175","Axes not released, please wait","1","$4171","Main drive","610","CP:.VC_MX_007_MS_WatchEnable","20000704","25","4","6","False","","2022-03-08 03:01:54"
"33","4","$352","","2022-03-08 06:03:14","1899-12-30 00:00:00","1899-12-30 00:00:00","$4128","Protective cover 1 open","1","$4126","Protective covers","650","CP:.VC_MX_002_MS_SHFSKette","20000201","20","4","7","False","","2022-03-08 03:03:14"
"47","0","$362","","2022-03-08 06:01:55","1899-12-30 00:00:00","2022-03-08 06:03:14","$4146","Ready for automatic operation","1","$4138","Operation","310","CP:.VC_MX_006_MH_AutoReady","20000607","24","6","8","False","","2022-03-08 03:01:55"
"77","4","$352","","2022-03-08 06:03:22","1899-12-30 00:00:00","1899-12-30 00:00:00","$4178","Carton supply low","1","$4176","Carton infeed","640","CP:.VC_MX_010_MS_FsMin","20001001","26","4","9","False","","2022-03-08 03:03:22"
"93","4","$352","","2022-03-08 06:06:53","1899-12-30 00:00:00","1899-12-30 00:00:00","$4200","Leaflet stack low","1","$4192","Leaflet unit","640","CP:.VC_MX_025_MS_MinProspekt","20002505","32","4","10","False","","2022-03-08 03:06:53"
"149","4","$352","","2022-03-08 06:07:36","1899-12-30 00:00:00","1899-12-30 00:00:00","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","11","False","","2022-03-08 03:07:36"
"149","0","$354","","2022-03-08 06:07:36","1899-12-30 00:00:00","2022-03-08 06:15:47","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","12","False","","2022-03-08 03:07:36"
"158","4","$352","","2022-03-08 06:24:34","1899-12-30 00:00:00","1899-12-30 00:00:00","$4275","Protective cover 10 open","1","$4244","Inserter","650","CP:.VC_MX_312_MS_SH2Rontech","20031246","39","4","13","False","","2022-03-08 03:24:34"
"158","0","$354","","2022-03-08 06:24:34","1899-12-30 00:00:00","2022-03-08 06:24:49","$4275","Protective cover 10 open","1","$4244","Inserter","650","CP:.VC_MX_312_MS_SH2Rontech","20031246","39","4","14","False","","2022-03-08 03:24:34"
"98","4","$352","","2022-03-08 06:24:53","1899-12-30 00:00:00","1899-12-30 00:00:00","$4205","Protective cover 8 open","1","$4192","Leaflet unit","650","CP:.VC_MX_025_MS_SH2","20002510","32","4","15","False","","2022-03-08 03:24:53"
"98","0","$354","","2022-03-08 06:24:53","1899-12-30 00:00:00","2022-03-08 06:24:59","$4205","Protective cover 8 open","1","$4192","Leaflet unit","650","CP:.VC_MX_025_MS_SH2","20002510","32","4","16","False","","2022-03-08 03:24:53"
"98","4","$352","","2022-03-08 06:25:03","1899-12-30 00:00:00","1899-12-30 00:00:00","$4205","Protective cover 8 open","1","$4192","Leaflet unit","650","CP:.VC_MX_025_MS_SH2","20002510","32","4","17","False","","2022-03-08 03:25:03"
"35","4","$352","","2022-03-08 06:26:29","1899-12-30 00:00:00","1899-12-30 00:00:00","$4130","Protective cover 3 open","1","$4126","Protective covers","650","CP:.VC_MX_002_MS_SHVerschluL","20000204","20","4","18","False","","2022-03-08 03:26:29"
"36","4","$352","","2022-03-08 06:27:22","1899-12-30 00:00:00","1899-12-30 00:00:00","$4131","Protective cover 2 open","1","$4126","Protective covers","650","CP:.VC_MX_002_MS_SHVerschluR","20000205","20","4","19","False","","2022-03-08 03:27:22"
