"ID","State","StateID","StateText","TimeIn","TimeUserAck","TimePLCAck","MessageID","MessageText","Occur","GroupID","GroupText","Priority","Parameter1","Parameter2","Group","Class","HistoricalID","HasNotes","SortBuffer","TimeInUTC"
"47","0","$362","","2022-03-03 20:40:55","1899-12-30 00:00:00","2022-03-04 05:56:40","$4146","Ready for automatic operation","1","$4138","Operation","310","CP:.VC_MX_006_MH_AutoReady","20000607","24","6","1","False","","2022-03-03 17:40:55"
"57","4","$360","","2022-03-04 05:56:40","1899-12-30 00:00:00","1899-12-30 00:00:00","$4156","Ready for combined operation","1","$4138","Operation","310","CP:.VC_MX_006_MH_CombiReady","20000617","24","6","2","False","","2022-03-04 02:56:40"
"57","0","$362","","2022-03-04 05:56:40","1899-12-30 00:00:00","2022-03-04 05:56:40","$4156","Ready for combined operation","1","$4138","Operation","310","CP:.VC_MX_006_MH_CombiReady","20000617","24","6","3","False","","2022-03-04 02:56:40"
"164","4","$352","","2022-03-04 05:56:40","1899-12-30 00:00:00","1899-12-30 00:00:00","$4583","Checkweigher not ready","1","$4582","Checkweigher","640","CP:.VC_MX_700_MS_Waage","20070000","43","4","4","False","","2022-03-04 02:56:40"
"57","4","$360","","2022-03-04 05:56:43","1899-12-30 00:00:00","1899-12-30 00:00:00","$4156","Ready for combined operation","1","$4138","Operation","310","CP:.VC_MX_006_MH_CombiReady","20000617","24","6","5","False","","2022-03-04 02:56:43"
"164","0","$354","","2022-03-04 05:56:40","1899-12-30 00:00:00","2022-03-04 05:56:43","$4583","Checkweigher not ready","1","$4582","Checkweigher","640","CP:.VC_MX_700_MS_Waage","20070000","43","4","6","False","","2022-03-04 02:56:40"
"57","0","$362","","2022-03-04 05:56:43","1899-12-30 00:00:00","2022-03-04 05:56:45","$4156","Ready for combined operation","1","$4138","Operation","310","CP:.VC_MX_006_MH_CombiReady","20000617","24","6","7","False","","2022-03-04 02:56:43"
"58","4","$360","","2022-03-04 05:56:45","1899-12-30 00:00:00","1899-12-30 00:00:00","$4157","Combined operation","1","$4138","Operation","310","CP:.VC_MX_006_MH_CombiRun","20000618","24","6","8","False","","2022-03-04 02:56:45"
"149","4","$352","","2022-03-04 05:56:58","1899-12-30 00:00:00","1899-12-30 00:00:00","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","9","False","","2022-03-04 02:56:58"
"58","0","$362","","2022-03-04 05:56:45","1899-12-30 00:00:00","2022-03-04 05:56:59","$4157","Combined operation","1","$4138","Operation","310","CP:.VC_MX_006_MH_CombiRun","20000618","24","6","10","False","","2022-03-04 02:56:45"
